Count of future_pay_date,Column Labels,,,,,,,,,,,,,,
Row Labels,21ST,ASI,DAIRYLAND,ESURANCE,FOREMOST,HARTFORD,MERCURY,METLIFE,NATIONAL GENERAL,PLYMOUTH ROCK,PROGRESSIVE,SAFECO,THE GENERAL,TRAVELERS,Grand Total
11/1/2014,,,,,,,,,,,1,,,,1
11/3/2014,44,,1,7,15,23,46,,,12,69,72,9,27,325
11/4/2014,31,1,2,4,26,22,47,1,,6,49,70,11,32,302
11/5/2014,36,1,1,2,12,13,38,4,,13,43,73,12,20,268
11/6/2014,29,,5,9,14,19,54,1,,10,40,79,9,24,293
11/7/2014,54,,2,5,16,25,41,,1,10,74,65,22,19,334
11/8/2014,3,,,1,3,,6,,,1,7,10,,3,34
11/10/2014,21,1,4,2,11,14,42,1,,12,56,61,6,17,248
11/11/2014,25,1,,1,10,19,33,,,10,33,77,9,23,241
11/12/2014,33,1,5,,13,17,40,,,15,31,43,10,25,233
11/13/2014,34,3,3,4,12,14,42,2,,11,51,52,8,18,254
11/14/2014,54,,2,4,11,16,75,,,13,95,77,25,19,391
11/15/2014,11,1,,2,6,3,12,,,,18,344,2,4,403
11/17/2014,36,2,2,4,18,21,37,4,,17,54,62,12,19,288
11/18/2014,29,,,3,12,13,22,2,,6,27,51,9,13,187
11/19/2014,32,,2,8,14,24,32,,,15,49,53,11,23,263
11/20/2014,40,3,2,2,20,19,39,,,14,44,51,15,20,269
11/21/2014,47,1,3,4,23,15,53,,,15,67,86,17,26,357
11/22/2014,15,,2,,2,4,16,,,,17,11,2,6,75
11/24/2014,32,,1,1,9,22,44,2,,10,48,55,14,22,260
11/25/2014,26,2,4,1,9,25,39,1,,4,51,48,11,26,247
11/26/2014,38,1,2,4,10,22,38,1,,11,48,81,4,26,286
11/28/2014,61,1,2,15,22,21,49,,,14,62,67,14,33,361
11/29/2014,5,,,5,5,3,13,,,1,10,15,4,6,67
12/1/2014,50,,1,2,13,26,54,1,,6,59,65,16,25,318
12/2/2014,33,3,5,2,18,20,52,,,14,49,54,13,32,295
12/3/2014,44,1,3,3,13,21,44,3,,6,55,84,19,32,328
12/4/2014,38,1,3,1,17,16,38,,,11,63,62,12,22,284
12/5/2014,41,,2,2,12,10,52,,,7,66,89,20,36,337
12/6/2014,2,,,,,,1,,,1,5,6,,5,20
12/8/2014,29,1,,5,8,16,33,1,,13,44,70,12,18,250
12/9/2014,38,,2,2,15,13,29,,,7,33,68,9,24,240
12/10/2014,36,1,3,2,15,24,42,,,7,35,65,8,29,267
12/11/2014,22,,4,1,21,23,39,,,12,47,57,14,34,274
12/12/2014,39,2,2,1,16,20,64,,,14,52,81,15,28,334
12/13/2014,9,,1,1,2,4,15,,,1,15,17,3,6,74
12/15/2014,30,2,4,,17,19,51,,,9,55,157,11,23,378
12/16/2014,20,2,2,,7,22,45,,,7,35,49,7,30,226
12/17/2014,34,,2,3,4,24,31,1,,8,48,65,11,22,253
12/18/2014,25,1,1,3,5,20,37,1,,10,47,51,5,18,224
12/19/2014,44,1,4,6,12,23,54,2,,11,66,80,8,32,343
12/22/2014,18,,3,2,3,11,46,,,11,44,48,10,25,221
12/23/2014,25,,1,19,11,12,39,2,,12,45,48,11,24,249
12/24/2014,19,,2,1,10,11,39,,,9,31,44,7,11,184
12/26/2014,78,,2,4,17,17,45,1,,8,60,53,9,22,316
12/27/2014,1,,,,,,,,,,1,1,,1,4
12/29/2014,21,1,1,6,6,11,38,1,,6,35,49,6,29,210
12/30/2014,25,,1,4,19,9,25,,,9,40,60,7,26,225
12/31/2014,39,1,4,5,13,17,44,,,6,44,58,9,31,271
1/2/2015,39,1,4,5,13,19,53,,,15,70,98,9,32,358
1/3/2015,,,,,,,1,,,,,,1,,2
1/5/2015,16,,3,2,17,23,45,,,10,50,59,11,36,272
1/6/2015,25,,,3,8,16,41,,,5,47,74,11,31,261
1/7/2015,23,,2,7,5,14,35,,,10,32,65,6,27,226
1/8/2015,27,1,1,3,12,16,38,,,9,40,86,9,31,273
1/9/2015,29,,4,4,13,19,61,,,16,56,85,12,28,327
1/10/2015,1,,,,,,,,,,,,,,1
1/12/2015,21,,2,5,12,15,20,,,12,40,68,8,27,230
1/13/2015,19,2,,,16,27,28,,,9,35,64,7,25,232
1/14/2015,25,1,,3,12,19,29,,,12,35,67,3,26,232
1/15/2015,40,,2,5,25,14,53,,,13,42,79,12,29,314
Grand Total,1761,41,116,200,700,945,2219,32,1,536,2565,3829,567,1328,14840
